Account No,Date,Description,Type,Balance
1406001,01-03-19,USER,Deposit,4000
1406001,01-06-19,USER,Deposit,4954
1406001,01-06-19,SYSTEM,Deposit,4967.1
1406001,01-07-19,USER,Deposit,9621.1
1406001,01-17-19,USER,Deposit,14295.7
1406001,02-01-19,USER,Deposit,18970.3
1406001,02-06-19,SYSTEM,Deposit,18991
1406001,02-08-19,USER,Deposit,23645
1406001,02-13-19,USER,Withdrawl,22653.5
1406001,02-18-19,USER,Withdrawl,22353.5
1406001,02-24-19,SYSTEM,Withdrawl,19251.5
1406001,02-27-19,USER,Deposit,23905.5
1406001,02-28-19,USER,Withdrawl,17988.9
1406001,03-05-19,USER,Withdrawl,21188.9
1406001,03-06-19,SYSTEM,Withdrawl,18086.9
1406001,03-07-19,USER,Deposit,22740.9
1406001,03-08-19,USER,Withdrawl,21821.4
1406001,03-16-19,USER,Withdrawl,19721.4
1406001,03-16-19,USER,Withdrawl,17081.4
1406001,03-25-19,SYSTEM,Withdrawl,13979.4
1406001,04-04-19,USER,Deposit,18633.4
1406001,04-06-19,SYSTEM,Deposit,18711.8
1406001,04-07-19,USER,Withdrawl,18697.2
1406001,04-13-19,USER,Withdrawl,15595.2
1406001,04-26-19,USER,Withdrawl,14795.2
1406001,05-01-19,USER,Deposit,19449.2
1406001,05-04-19,USER,Withdrawl,18514
1406001,05-06-19,SYSTEM,Deposit,19528.6
1406001,05-17-19,USER,Withdrawl,17674
1406001,05-20-19,USER,Withdrawl,14572
1406001,05-27-19,USER,Deposit,19226
1406001,06-03-19,USER,Withdrawl,18586
1406001,06-06-19,USER,Withdrawl,16426
1406001,06-09-19,USER,Withdrawl,14726
1406001,06-16-19,USER,Withdrawl,12566
1406001,06-22-19,USER,Withdrawl,10618.6
1406001,06-27-19,SYSTEM,Deposit,12633.2
1406001,06-30-19,USER,Withdrawl,9516.6
1406001,07-01-19,USER,Deposit,14170.6
1406001,07-08-19,USER,Withdrawl,13212.4
1406001,07-08-19,SYSTEM,Deposit,14227
1406001,07-15-19,USER,Withdrawl,11110.4
1406001,07-19-19,USER,Deposit,15764.4
1406001,07-19-19,USER,Withdrawl,7813.2
1406001,07-30-19,USER,Withdrawl,5711.2
1406001,08-06-19,USER,Deposit,17365.2
1406001,08-13-19,USER,Withdrawl,14420.5
1406001,08-17-19,SYSTEM,Deposit,17435.1
1406001,08-24-19,USER,Withdrawl,14318.5
1406001,08-30-19,USER,Deposit,18972.5
