Account No,Jan-June,July-Dec,Category
140010,11,14,0
140011,16,12,0
140012,20,13,0
140013,18,17,0
140014,15,8,0
140015,22,18,0
140016,17,24,0
140017,5,4,0
140018,6,6,0
140020,1,6,0
140021,2,5,0
140022,4,2,0
140023,3,5,0
140024,1,6,0
140025,5,2,0
140026,6,6,0
140027,3,4,0
140028,1,0,2
140029,6,5,0
140030,6,1,1
140031,5,1,1
140032,5,1,1
140033,6,1,1
140034,4,4,0
140035,4,6,0
140036,6,6,0
140037,4,3,0
140038,4,0,2
140039,4,6,0
140040,5,0,2
140041,3,6,0
140042,4,6,0
140043,2,0,2
140045,4,4,0
140046,3,4,0
140047,3,3,0
140048,2,5,0
140049,6,1,1
140050,3,4,0
140051,6,2,0
140052,3,3,0
140053,6,3,0
140054,3,2,0
140055,4,4,0
140056,4,6,0
140057,6,6,0
140058,4,3,0
140059,4,0,2
140060,4,6,0
140061,5,0,2
140062,3,6,0
140063,4,6,0
140064,2,0,2
140066,4,4,0
140067,3,4,0
140068,3,3,0
140069,2,5,0
140070,6,1,1
140071,6,6,0
140072,5,2,0
140073,6,2,0
140074,5,6,0
140075,5,2,0
140076,4,3,0
140077,3,3,0
140078,4,2,0
140079,4,4,0
140080,4,5,0
140081,6,6,0
140082,5,3,0
140083,4,1,0
140084,4,4,0
140085,5,6,0
140086,6,5,0
140087,3,4,0
140088,1,2,0
140089,6,6,0
140090,1,2,0
1111101,10,0,2
1111102,4,0,2
1111103,5,1,1
1111105,1,0,2
1111106,19,1,1
1111107,1,1,0
1111108,1,0,2
1111109,2,0,2
1111110,6,0,2
1111111,1,0,2
1406001,30,38,0
1406002,12,27,0
1406003,31,28,0
1406004,44,51,0
1406005,11,2,1
1406006,10,0,2
1406007,32,34,0
1406008,44,43,0
1406009,43,40,0
1406010,42,36,0
1406011,35,27,0
1406012,10,0,2
1406013,12,8,0
1406014,40,38,0
1406015,36,5,1
1406016,40,35,0
1406017,39,32,0
1406018,40,45,0
1406019,11,32,0
1406020,29,23,0
1406021,30,29,0
1406022,37,27,0
1406023,40,6,1
1406024,46,38,0
1406025,37,30,0
1406026,36,32,0
1406027,48,42,0
1406028,27,31,0
1406029,34,29,0
1406030,38,29,0
1406031,33,31,0
1406032,37,53,0
1406033,38,32,0
1406034,31,27,0
1406035,35,23,0
1406036,31,7,1
1406037,20,29,0
1406038,35,31,0
1406039,20,8,0
1406040,41,34,0
1406041,38,33,0
1406042,15,6,0
1406043,56,47,0
1406044,36,38,0
1406045,29,25,0
1406046,26,26,0
1406047,10,0,2
1406048,37,31,0
1406049,37,29,0
1406050,32,28,0
1406051,24,33,0
1406052,36,32,0
1406053,38,49,0
1406054,36,31,0
1406055,31,5,1
1406056,37,33,0
1406057,25,44,0
1406058,21,29,0
1406059,8,0,2
1406060,30,26,0
1406061,36,31,0
1406062,39,29,0
1406063,27,30,0
1406064,26,25,0
1406065,49,40,0
1406066,28,34,0
1406067,47,38,0
1406068,37,26,0
1406069,30,28,0
1406070,37,31,0
1406071,17,26,0
1406072,30,28,0
1406073,49,43,0
1406074,35,28,0
1406075,10,0,2
1406076,29,27,0
1406077,37,29,0
1406078,22,26,0
1406079,35,6,1
1406080,34,27,0
1406081,7,0,2
1406082,28,28,0
1406083,32,30,0
1406084,31,25,0
1406085,21,32,0
1406086,43,39,0
1406087,30,27,0
1406088,34,37,0
1406089,34,37,0
1406090,11,22,0
1406091,33,31,0
1406092,12,17,0
1406093,4,0,2
1406094,29,29,0
1406095,37,32,0
1406096,26,34,0
1406097,29,32,0
1406098,38,36,0
1406099,43,37,0
1406100,32,30,0
1415848,2,1,0
1415849,1,0,2
1415850,9,9,0
1415851,17,5,1
